id;species;date;point;earring number;recap;sex;weight (g);reproductive condition;age;head (mm);body (mm);tail (mm);ear  height (mm);ear width (mm);tibia (mm);paw (mm);Testicle height (mm);Testicle width (mm);note (botflies)
319;Hylaeamys megacephalus;16/06/2023;5.5s;2511;not;F;8;pregnant ;;35;91.2;109.2;19.1;11.1;32.3;27.4;;;
320;Hylaeamys megacephalus;16/06/2023;3.7s;2506;yes;F;52;non-reproductive;;35.7;84.2;;17.7;11.6;30.9;27.8;;;tail injury
321;Hylaeamys megacephalus;16/06/2023;4.5s;2839;not;F;40;non-reproductive;;30.4;80.1;100.3;19.8;10.7;29.6;27.5;;;
322;Hylaeamys megacephalus;16/06/2023;NA;2919;not;F;63;;;41.2;97;109.5;16.5;12.2;31.9;26.8;;;
323;Hylaeamys megacephalus;18/06/2023;3.3s;2905;not;M;24;;;33;66.1;87;17.2;14.1;25.6;26.3;;;
324;Hylaeamys megacephalus;18/06/2023;2.4s;2523;not;F;59;pregnant ;;39.5;77.7;102;18.3;15.4;32.8;26.4;;;
325;Hylaeamys megacephalus;18/06/2023;1.5a;2576;not;F;44;pregnant ;;32.7;81.4;100;18;15.4;29.5;26.7;;;
326;Hylaeamys megacephalus;18/06/2023;1.4a;2893;not;M;57;;;37;87.3;112.4;18.1;16.5;33.1;26.3;;;
327;Hylaeamys megacephalus;18/06/2023;1.1s;2925;yes;M;47;;;35.5;73.3;105.7;17;14.2;29.9;27.1;;;
328;Hylaeamys megacephalus;18/06/2023;1.7s;2502;yes;F;40;non-reproductive;;33.1;76.5;95.1;18.3;10;29.9;27.1;;;
329;Hylaeamys megacephalus;18/06/2023;2.7s;2957;yes;M;52;;;35.4;85.7;98.5;19.7;13;32.6;26.8;;;
330;Hylaeamys megacephalus;18/06/2023;3.1s;2828;yes;M;66;;;34.8;100.1;102.8;21.1;11.6;35.6;28.6;;;
331;Hylaeamys megacephalus;18/06/2023;3.7s;2506;yes;F;52;non-reproductive;;35.7;84.2;;17.7;11.6;30.9;27.8;;;
332;Hylaeamys megacephalus;18/06/2023;3.4s;2961;yes;F;56;pregnant ;;44.6;82.2;112.4;17.6;11.5;31.5;27.3;;;
333;Hylaeamys megacephalus;18/06/2023;4.4s;2546;yes;M;65;;;37.9;90.6;98.3;19.1;9.6;33.3;28.4;16.8;12.3;
334;Hylaeamys megacephalus;18/06/2023;5.3s;2975;yes;M;72;;;37.9;74.4;114.5;17.8;12;33.8;26.5;;;
335;Hylaeamys megacephalus;18/06/2023;5.6s;2511;yes;F;8;pregnant;;35;91.2;109.2;19.1;11.1;32.3;27.4;;;died
336;Hylaeamys megacephalus;18/06/2023;1.4s;2827;yes;F;64;;;37;91;113.4;18.7;12.4;32.2;27.3;;;
337;Hylaeamys megacephalus;18/06/2023;1.5s;2958;yes;M;70;;;40.4;82;102.4;19.4;9;36;27;;;
338;Hylaeamys megacephalus;19/06/2023;3.1s;2903;not;M;36;;;33.9;84.4;100.8;18.7;13.2;26.8;26.8;;;
339;Hylaeamys megacephalus;19/06/2023;4.3s;2579;not;F;25;non-reproductive;;33.5;65.3;80.4;15.5;11.4;27.1;25.8;;;
340;Hylaeamys megacephalus;19/06/2023;2.5s;2574;not;F;40;non-reproductive;;33.4;71.3;94.7;19.9;16.6;31.2;27.4;;;
341;Hylaeamys megacephalus;19/06/2023;1.5a;2523;not;F;52;non-reproductive;;35.2;91.2;115.8;NA;NA;35.8;24.9;;;died
342;Hylaeamys megacephalus;19/06/2023;1.2s;2913;not;M;66;;;35.51;79.7;113.2;18.4;10.8;31.9;26.1;;;
343;Hylaeamys megacephalus;19/06/2023;3.7s;2962;yes;M;;;;37;82.1;111.4;16.5;11.9;34.6;29.4;;;botfly
344;Hylaeamys megacephalus;19/06/2023;4.4s;2546;yes;M;65;;;37.9;90.6;98.3;19.1;9.6;33.3;28.4;16.8;12.3;
345;Hylaeamys megacephalus;19/06/2023;5.7s;2506;yes;F;52;non-reproductive;;35.7;84.2;;17.7;11.6;30.9;27.8;;;
346;Hylaeamys megacephalus;19/06/2023;2.3s;2828;yes;M;66;;;34.8;100.1;102.8;21.1;11.6;35.6;28.6;;;
347;Hylaeamys megacephalus;19/06/2023;2.8s;2957;yes;M;52;;;35.4;85.7;98.5;19.7;13;32.6;26.8;;;died
348;Hylaeamys megacephalus;19/06/2023;1.7s;2502;yes;F;40;non-reproductive;;33.1;76.5;95.1;18.3;10;29.9;27.1;;;died
349;Hylaeamys megacephalus;19/06/2023;1.4s;2827;yes;F;64;;;37;91;113.4;18.7;12.4;32.2;27.3;;;
350;Hylaeamys megacephalus;20/06/2023;3.8s;2581;not;NA;41;;;31.4;74.5;104.9;19.9;11.1;28.3;25.6;;;
351;Hylaeamys megacephalus;20/06/2023;2.8s;2962;yes;M;;;;37;82.1;111.4;16.5;11.9;34.6;29.4;;;botfly
352;Hylaeamys megacephalus;20/06/2023;5.4s;2839;yes;F;40;non-reproductive;;30.4;80.1;100.3;19.8;10.7;29.6;27.5;;;
353;Hylaeamys megacephalus;20/06/2023;2.3s;2828;yes;M;66;;;34.8;100.1;102.8;21.1;11.6;35.6;28.6;;;
354;Hylaeamys megacephalus;20/06/2023;4.7s;2506;yes;F;52;non-reproductive;;35.7;84.2;;17.7;11.6;30.9;27.8;;;died
355;Hylaeamys megacephalus;20/06/2023;3.3s;2961;yes;F;56;pregnant;;44.6;82.2;112.4;17.6;11.5;31.5;27.3;;;died
356;Hylaeamys megacephalus;28/07/2023;3.4s;2839;not;F;45;non-reproductive;;33.9;82.5;103.2;19.8;14.3;32.1;26.3;;;
357;Hylaeamys megacephalus;28/07/2023;3.1s;2907;not;F;63;pregnant;;34.7;79.9;102.5;17.7;11.5;32.4;27.2;;;
358;Hylaeamys megacephalus;28/07/2023;2.3s;5612;not;F;50;pregnant;;33.2;79.6;102.9;19.2;13.1;30.2;26.5;;;lost the earring
359;Hylaeamys megacephalus;28/07/2023;1.5s;2574;not;F;48;non-reproductive;;34.4;80.8;100;20.1;11.2;31.1;27.6;;;ticks colected 
360;Hylaeamys megacephalus;28/07/2023;5.5s;5671;not;F;42;non-reproductive;;34.1;83;93.2;18.7;10.8;31.3;27.1;;;
361;Hylaeamys megacephalus;29/07/2023;5.5s;5671;yes;F;42;non-reproductive;;34.1;83;93.2;18.7;10.8;31.3;27.1;;;
362;Hylaeamys megacephalus;29/07/2023;4.3s;2839;yes;F;45;non-reproductive;;33.9;82.5;103.2;19.8;14.3;32.1;26.3;;;
363;Hylaeamys megacephalus;29/07/2023;1.5s;2574;yes;F;48;non-reproductive;;34.4;80.8;100;20.1;11.2;31.1;27.6;;;ticks colected
364;Hylaeamys megacephalus;29/07/2023;2.3s;5612;yes;F;50;pregnant;;33.2;79.6;102.9;19.2;13.1;30.2;26.5;;;lost the earring
365;Hylaeamys megacephalus;30/07/2023;2.2s;5612;yes;F;50;pregnant ;;33.2;79.6;102.9;19.2;13.1;30.2;26.5;;;lost the earring
366;Hylaeamys megacephalus;30/07/2023;3.3s;2839;yes;F;45;non-reproductive;;33.9;82.5;103.2;19.8;14.3;32.1;26.3;;;
367;Hylaeamys megacephalus;30/07/2023;1.4s;2574;yes;F;48;non-reproductive;;34.4;80.8;100;20.1;11.2;31.1;27.6;;;ticks colected 
368;Hylaeamys megacephalus;31/07/2023;5.5s;5663;not;M;64;;;36.1;83.2;110.6;19.5;11.1;32.3;29.2;;;
369;Hylaeamys megacephalus;31/07/2023;1.3s;2574;yes;F;48;non-reproductive;;34.4;80.8;100;20.1;11.2;31.1;27.6;;;ticks colected 
370;Hylaeamys megacephalus;31/07/2023;2.3s;5612;yes;F;50;pregnant ;;33.2;79.6;102.9;19.2;13.1;30.2;26.5;;;lost the earring
371;Hylaeamys megacephalus;31/07/2023;4.1s;2907;yes;F;63;pregnant;;34.7;79.9;102.5;17.7;11.5;32.4;27.2;;;
372;Hylaeamys megacephalus;31/07/2023;5.6s;5671;yes;F;42;non-reproductive;;34.1;83;93.2;18.7;10.8;31.3;27.1;;;
373;Hylaeamys megacephalus;01/08/2023;3.8s;2962;not;M;62;;;37.1;86.4;118.7;16.6;12.6;32.9;28.4;17.5;12;testículo descido
374;Hylaeamys megacephalus;01/08/2023;1.5s;5626;not;M;61;;;38.3;71.2;100;12.1;7.5;30.4;24.6;;;testículo not descido/not coletou sangue
375;Hylaeamys megacephalus;01/08/2023;5.5s;5671;yes;F;42;non-reproductive;;34.1;83;93.2;18.7;10.8;31.3;27.1;;;
376;Hylaeamys megacephalus;01/08/2023;1.3s;2574;yes;F;48;non-reproductive;;34.4;80.8;100;20.1;11.2;31.1;27.6;;;muitos carrapatos (foram coetados)
377;Hylaeamys megacephalus;01/08/2023;2.3s;5612;yes;F;50;pregnant;;33.2;79.6;102.9;19.2;13.1;30.2;26.5;;;morreu
